family	slug	attribution_type	rules_wordcount	attribution_verbatim
chess	los-alamos	specific	61	Paul Stein and Mark Wells, Los Alamos National Laboratory, 1956. Public domain.
go	sunjang	specific	62	Traditional Korean variant. Public domain. Historically the dominant form of Go in Korea until approximately 1920. Source: Wikipedia, Korean Baduk Association historical archives.
chess	omnicide	specific	65	Modern variant. Distinct from Antichess by the absence of forced captures. Public domain.
go	capture-go	specific	69	Teaching variant used worldwide. Public domain. Recommended by all major Go federations as an introductory format. Source: Sensei's Library.
go	one-colour	specific	70	Training variant used by professional Go players. Public domain. Source: Sensei's Library.
chess	checkless	specific	71	Traditional variant. Earliest documented reference in Max Lange, 1857. Public domain.
chess	einstein-chess	specific	74	Invented by B. Iqbal, 2005. Public domain.
draughts	spanish	specific	75	Traditional variant. Public domain. Governed by the Federación Española de Damas. Source: Wikipedia (CC-BY-SA).
chess	crazyhouse	specific	76	Traditional variant. Derives from Shogi's drop mechanic applied to Western chess. Popularised on Lichess and FICS. Public domain.
chess	xiang-fu	specific	77	Xiang Fu was designed by Eventlesstew for the PyChess Variant Design Contest. Board corrected to 9×9 (not 9×10 as originally described). Rules documented from pychess.org/variants/xiangfu.
xiangqi	san-kwo-ki	specific	79	Rules documented from chessvariants.com/xiangqivariants.dir/chin3pl.html, citing H.J.R. Murray, *A History of Chess* (1913), pp. 133–134, and O. von Möllendorff, "Das Schachspiel der Chinesen" (1876). Starting position cross-checked against Murray's reproduced diagram and Hans Bodlaender's redrawn version (Steven Leary's Chinese Chess FAQ), 2026-07.
reversi	anti-reversi	specific	82	Anti-Reversi (Reversed Reversi). Public domain variant of Reversi (c. 1883).
chess	chaturanga	specific	83	Rules transcribed from two sources via the Ludii Game Corpus, Maastricht University: \n - Manasollasa ruleset, citing Bock-Raming 1996 (Sanskrit scholarship on the 12th-century Manasollasa text) \n - al-Adli ruleset, citing H.J.R. Murray, *A History of Chess* (Oxford University Press, 1913, public domain) \n \n Both underlying texts are public domain. Chaturanga as a game system dates to c. 600 CE and is not subject to copyright.
reversi	six-by-six	specific	83	Six-by-Six Reversi. Public domain variant. Rules identical to Reversi (c. 1883).
shogi	tenjiku-shogi	specific	86	Medieval Japanese game. Rules documented from chessvariants.com/rules/tenjiku-shogi (H. G. Muller; revised A. M. DeWitt, 2026).
chess	andernach	specific	89	Created for a chess composition event in Andernach, Germany, 1993. Public domain rules.
chess	extinction	specific	89	R. Wayne Schmittberger, 1985. Public domain.
chess	duck-chess	specific	92	Dr Tim Paulden, 2016. Public domain.
draughts	pool	specific	100	Traditional variant. Public domain. Governed by the American Pool Checkers Association (est. 1966). Source: Wikipedia (CC-BY-SA).
xiangqi	minixiangqi	specific	100	Minixiangqi was invented by Shigenobu Kusumoto, Osaka, Japan, 1973. Public domain. Rules documented from pychess.org/variants/minixiangqi.
shogi	gorogoro-plus	specific	103	Gorogoro+ is a Shogi family variant. Rules documented from pychess.org/variants/gorogoroplus.
chess	patrol	specific	105	Frederik Hendrik von Meyenfeldt, 1975. Public domain rules.
draughts	diagonal	specific	106	Historical variant, documented from at least the 19th century. Public domain. Sources: Ludeme/Ludii — Diagonal Draughts.lud (SHA 9405c8a7, Maastricht University Ludii Project); J.P. Neto, *World Abstract Games* — Checkers page (jpneto.github.io).
chess	orda-chess	specific	108	Designed by Couch Tomato (2020). Popularised on Pychess. Public domain.
chess	los-alamos-vierschach	specific	110	Los Alamos Vierschach was designed by Jörg Knappen as a non-competing entry to the 84 Squares Contest. HTML by Hans Bodlaender. Source: chessvariants.com/large.dir/contest84/losalamos4.html
draughts	german	specific	112	Traditional variant. Public domain. Rules documented in Parlett, D. (1999) *The Oxford History of Board Games*, p. 252. Sources: Ludeme/Ludii — Damenspiel.lud (SHA 47b7ccc6, Maastricht University Ludii Project); Checkers &amp; Draughts Wiki — Deutsches Damespiel article.
draughts	dameo	specific	113	Dameo. Invented by Christian Freeling (2000). Rules in the public domain; game rules are not subject to copyright. Source: Wikipedia — Dameo article (CC-BY-SA 4.0).
chess	benedict	specific	115	C. S. Elliott, 1971. Named after Benedict Arnold. Public domain rules.
draughts	english	specific	115	English Draughts. Public domain. Rules standardised by the World Draughts Federation (FMJD) and the English Draughts Association.
chess	vierschach	specific	117	Invented by Dr. G. Arthur Lutze (1813–1870). Documented by Theodor Müller-Alfeld and Heinz Machatscheck. Rules documented from chessvariants.com/multiplayer.dir/vierschach.html (Jörg Knappen, 2002).
draughts	italian	specific	118	Traditional variant. Public domain. Governed by the Federazione Italiana Dama (FID). Source: Wikipedia (CC-BY-SA).
draughts	russian	specific	118	Traditional variant. Public domain. Governed by the Russian Draughts Federation. Source: Wikipedia (CC-BY-SA).
go	standard	specific	122	Traditional game originating in China approximately 4,000 years ago. Known as Weiqi (Chinese), Baduk (Korean), Igo (Japanese). Public domain. Rules standardised by the International Go Federation.
chess	weak	specific	124	Ralph Betza, 1970s–80s. Published in *NOST-algia* newsletter. Public domain.
draughts	brazilian	specific	127	Traditional variant. Public domain. Governed by the Confederação Brasileira de Jogo de Damas. Source: Wikipedia (CC-BY-SA).
shogi	dai-shogi	specific	127	Historical Japanese game, medieval period. Rules documented from chessvariants.com/rules/dai-shogi (H. G. Muller, 2015).
chess	madrasi	specific	128	Abdul Jabbar Karwatkar, 1979. Named after his home city of Madras (now Chennai), India. Public domain rules.
go	renju	specific	130	Competitive variant of Gomoku. Rules governed by the Renju International Federation. Public domain. The Renju International Federation was founded in Stockholm, Sweden on August 8, 1988.
mancala	kalah	specific	130	Kalah. Designed by William Julius Champion Jr., USA, 1940s. Public domain rules. Source: Wikipedia (CC-BY-SA).
mancala	ayo	specific	134	Ayo. Traditional game, Yoruba people, Nigeria. Public domain. Source: Wikipedia (CC-BY-SA); Russ, Laurence — *The Complete Mancala Games Book* (1984).
reversi	standard	specific	134	Reversi. Public domain. Invented by Lewis Waterman and John Mollett, England, c. 1883.
xiangqi	xiangqi-42	specific	134	Xiangqi 42 was invented by Robert Price as an entry in the Chess Variant Pages 42-squares contest. WWW page created October 17, 2001. Rules documented from chessvariants.com/42.dir/xiangqi42.html.
chess	fog-of-war	specific	138	Jens Bæk Nielsen and Torben Osted, 1989. Popularised on Chess.com. Public domain rules.
chess	grid-chess	specific	139	Walter Stead, 1953. Published in fairy chess circles. Public domain.
chess	dark-chess	specific	140	Modern variant. Distinguished from Fog of War by its stricter visibility rules. Public domain.
draughts	alquerque	specific	142	Traditional game. Public domain. Documented in Libro de los Juegos (Alfonso X, 1283). Source: Wikipedia (CC-BY-SA), Murray's A History of Board Games Other Than Chess (1952).
chess	dice-chess	specific	143	Ancient origins (11th–14th century Europe, earlier roots in India/Burma). Modern codification by Anne Sunnucks, *The Encyclopaedia of Chess*, 1970. Public domain.
chess	dragon-chess	specific	146	Dragon Chess was created by Grandmaster Miguel Illescas. Rules documented from pychess.org/variants/dragon.
draughts	international	specific	150	Traditional variant. Public domain. Rules standardised by the World Draughts Federation (FMJD). Source: FMJD Official Rules, Wikipedia (CC-BY-SA).
shogi	tori-shogi	specific	152	Tori Shogi was invented by Toyota Genryu (1799). Public domain. Rules documented from pychess.org/variants/torishogi.
mancala	oware	specific	160	Oware. Traditional game, Ghana and West Africa. Public domain. Source: Wikipedia (CC-BY-SA); Russ, Laurence — *The Complete Mancala Games Book* (1984).
mancala	pallanguzhi	specific	162	Pallanguzhi. Traditional game, Tamil Nadu, India. Public domain. Source: Wikipedia (CC-BY-SA); Russ, Laurence — *The Complete Mancala Games Book* (1984).
shogi	dobutsu	specific	177	Dobutsu Shogi was invented by Madoka Kitao (北尾まどか). Public domain. Rules documented from pychess.org/variants/dobutsu.
mancala	congkak	specific	191	Congkak. Traditional game, Malay Archipelago. Public domain. Source: Wikipedia (CC-BY-SA); Russ, Laurence — *The Complete Mancala Games Book* (1984).
go	ninuki-renju	specific	192	Japanese competitive game. Organised by the Ninuki Renju Sha, Japan, 1923-1940. Direct historical precursor to Pente (1977). Public domain. Sources: Renju International Federation (renju.se); Wikipedia (Pente article, Gomoku article).
draughts	frisian	specific	202	Traditional variant from Friesland, Netherlands. Public domain. Recognised by the World Draughts Federation (FMJD). Source: Wikipedia (CC-BY-SA).
mancala	sungka	specific	202	Sungka. Traditional game, Philippines. Public domain. Source: Wikipedia (CC-BY-SA); Russ, Laurence — *The Complete Mancala Games Book* (1984).
draughts	bashni	specific	217	Traditional Russian variant. Public domain. Pre-dates Lasca (1911). Source: Wikipedia (CC-BY-SA).
chess	absorption	specific	233	Described in *The Encyclopedia of Chess Variants* by David Pritchard (1994). Also known as Cannibal Chess (though that name more properly refers to the replacement variant where capturing substitutes movement rather than adding it). Public domain.
chess	yalta-chess	specific	254	Yalta Chess documented by Daniel Lindström; WWW page by David Howe, created May 12, 1997. Rules and board graphic documented from chessvariants.com/multiplayer.dir/yalta.html. Board shape (hexagonal Y-trisection, not circular), player colours, and back-rank order confirmed against the primary source's diagrams, 2026-07.
draughts	lasca	specific	287	Invented by Emanuel Lasker (World Chess Champion), 1911. Public domain. Source: Wikipedia + Lasker 1911 (CC-BY-SA).
landlords-game	single-tax	specific	363	Single Tax. Rules from the Economic Game Company edition, New York, 1906. Designed by Elizabeth J. Magie. Public domain. Sources: landlordsgame.info/rules/lg-1906_rulebook.html (transcription via hoelzl/L3 public repository); Wikipedia: The Landlord's Game (CC-BY-SA).
landlords-game	1906-commercial	specific	370	1906 Commercial Edition. Rules from the Economic Game Company edition, New York, 1906. Designed by Elizabeth J. Magie. Public domain. Source: landlordsgame.info/rules/lg-1906_rulebook.html (transcription via hoelzl/L3 public repository).
landlords-game	1904-original	specific	395	1904 Original. Rules from US Patent 748,626, granted January 5, 1904. Designed by Elizabeth J. Magie. Public domain (patent expired 1921). Sources: US Patent 748,626 (public domain); hoelzl/L3 GitHub repository patent transcription, sourced from landlordsgame.info.
chess	standard	specific	419	Origins in 6th-century India (Chaturanga). Modern rules standardised by FIDE. Public domain.
